Ticker,StartDate,EndDate,InitialCapital,FinalValue,ReturnPct,WinRate,TotalTrades
SBIN.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
LT.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
AXISBANK.NS,2025-03-10,2025-08-08,100000,98961.99560546875,-1.03800439453125,50.0,4
ASIANPAINT.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
RELIANCE.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
HDFCBANK.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
TCS.NS,2025-03-10,2025-08-08,100000,93815.71533203125,-6.18428466796875,16.666666666666664,6
INFY.NS,2025-03-10,2025-08-08,100000,98044.9775390625,-1.9550224609375,50.0,6
HINDUNILVR.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
ICICIBANK.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
BHARTIARTL.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
ITC.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
BAJFINANCE.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
WIPRO.NS,2025-03-10,2025-08-08,100000,101307.28897094728,1.3072889709472657,100.0,1
HCLTECH.NS,2025-03-10,2025-08-08,100000,101042.46337890625,1.04246337890625,50.0,6
SBIN.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
LT.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
AXISBANK.NS,2025-03-10,2025-08-08,100000,98961.99560546875,-1.03800439453125,50.0,4
ASIANPAINT.NS,2025-03-10,2025-08-08,100000,100000.0,0.0,0,0
RELIANCE.NS,2025-07-28,2026-01-01,100000,100000.0,0.0,0,0
HDFCBANK.NS,2025-07-28,2026-01-01,100000,101606.50512695312,1.6065051269531248,100.0,1
TCS.NS,2025-07-28,2026-01-01,100000,99898.37353515625,-0.10162646484375001,0.0,1
